,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
941,2020/2021,Nimes,Monaco,2-2,1-2,3-4,Unknown,14:00,2,2,1,2,3,4,4,3,7,Away
942,2020/2021,Brest,Bordeaux,0-0,2-1,2-1,Unknown,12:00,0,0,2,1,2,1,0,3,3,Home
943,2020/2021,Lyon,Strasbourg,2-0,1-0,3-0,Unknown,18:00,2,0,1,0,3,0,2,1,3,Home
944,2020/2021,Lorient,Reims,0-0,1-0,1-0,Unknown,16:00,0,0,1,0,1,0,0,1,1,Home
945,2020/2021,Saint-Étienne,Nantes,0-1,1-0,1-1,Unknown,20:00,0,1,1,0,1,1,1,1,2,Draw
946,2020/2021,Lens,Rennais,0-0,0-0,0-0,Unknown,20:00,0,0,0,0,0,0,0,0,0,Draw
947,2020/2021,PSG,Nimes,2-0,1-0,3-0,Unknown,20:00,2,0,1,0,3,0,2,1,3,Home
948,2020/2021,Lens,Marseille,0-2,2-0,2-2,Unknown,20:00,0,2,2,0,2,2,2,2,4,Draw
949,2020/2021,Dijon,Lyon,0-1,0-0,0-1,Unknown,20:00,0,1,0,0,0,1,1,0,1,Away
950,2020/2021,Monaco,Nice,1-0,1-1,2-1,Unknown,20:00,1,0,1,1,2,1,1,2,3,Home
951,2020/2021,Bordeaux,Lille,0-0,0-3,0-3,Unknown,18:00,0,0,0,3,0,3,0,3,3,Away
952,2020/2021,Strasbourg,Brest,1-0,1-2,2-2,Unknown,18:00,1,0,1,2,2,2,1,3,4,Draw
953,2020/2021,Rennais,Lorient,1-0,0-1,1-1,Unknown,18:00,1,0,0,1,1,1,1,1,2,Draw
954,2020/2021,Metz,Montpellier,0-0,1-1,1-1,Unknown,18:00,0,0,1,1,1,1,0,2,2,Draw
955,2020/2021,Reims,Angers,0-0,0-0,0-0,Unknown,18:00,0,0,0,0,0,0,0,0,0,Draw
956,2020/2021,Marseille,Rennais,0-0,1-0,1-0,Unknown,18:00,0,0,1,0,1,0,0,1,1,Home
957,2020/2021,Nantes,Monaco,0-1,1-1,1-2,Unknown,20:00,0,1,1,1,1,2,1,2,3,Away
958,2020/2021,Lille,Dijon,1-0,0-0,1-0,Unknown,16:00,1,0,0,0,1,0,1,0,1,Home
959,2020/2021,Strasbourg,Reims,0-0,0-1,0-1,Unknown,14:00,0,0,0,1,0,1,0,1,1,Away
960,2020/2021,Angers,Nimes,2-1,1-0,3-1,Unknown,14:00,2,1,1,0,3,1,3,1,4,Home
961,2020/2021,Lorient,PSG,1-1,2-1,3-2,Unknown,14:00,1,1,2,1,3,2,2,3,5,Home
